update,org,not,nand,and,orn,or,andn,nor,xor,equ,dead,parasites,parasite_not,parasite_nand,parasite_and,parasite_orn,parasite_or,parasite_andn,parasite_nor,parasite_xor,parasite_equ
254,818,4,0,32,0,0,71,23,0,0,38,0,0,0,0,0,0,0,0,0,0
255,823,4,0,31,0,0,69,22,0,0,31,0,0,0,0,0,0,0,0,0,0
256,807,4,0,31,0,0,72,21,0,0,53,0,0,0,0,0,0,0,0,0,0
257,795,4,0,31,0,0,70,21,0,0,42,0,0,0,0,0,0,0,0,0,0
258,791,4,0,31,0,0,70,21,0,0,41,0,0,0,0,0,0,0,0,0,0
259,788,5,0,31,0,0,69,21,0,0,45,0,0,0,0,0,0,0,0,0,0
260,789,5,0,31,0,0,70,19,0,0,40,0,0,0,0,0,0,0,0,0,0
261,777,5,0,31,0,0,70,18,0,0,45,0,0,0,0,0,0,0,0,0,0
262,774,5,0,30,0,0,70,18,0,0,36,0,0,0,0,0,0,0,0,0,0
263,776,5,0,29,0,0,68,18,0,0,34,0,0,0,0,0,0,0,0,0,0
264,776,5,0,29,0,0,69,19,0,0,33,0,0,0,0,0,0,0,0,0,0
265,781,5,0,29,0,0,70,19,0,0,35,0,0,0,0,0,0,0,0,0,0
266,783,5,0,29,0,0,70,18,0,0,43,0,0,0,0,0,0,0,0,0,0
267,772,4,0,29,0,0,68,17,0,0,40,0,0,0,0,0,0,0,0,0,0
268,771,4,0,28,0,0,69,17,0,0,39,0,0,0,0,0,0,0,0,0,0
269,771,4,0,26,0,0,69,17,0,0,32,0,0,0,0,0,0,0,0,0,0
270,768,4,0,27,0,0,68,17,0,0,37,0,0,0,0,0,0,0,0,0,0
271,770,4,0,27,0,0,69,17,0,0,33,0,0,0,0,0,0,0,0,0,0
272,763,4,0,27,0,0,69,17,0,0,40,0,0,0,0,0,0,0,0,0,0
273,770,4,0,27,0,0,71,18,0,0,33,0,0,0,0,0,0,0,0,0,0
274,762,4,0,27,0,0,72,19,0,0,41,0,0,0,0,0,0,0,0,0,0
275,756,4,0,27,0,0,73,19,0,0,39,0,0,0,0,0,0,0,0,0,0
276,745,3,0,26,0,0,75,19,0,0,40,0,0,0,0,0,0,0,0,0,0
277,732,3,0,25,0,0,75,18,0,0,39,0,0,0,0,0,0,0,0,0,0
278,727,4,0,24,0,0,73,18,0,0,38,0,0,0,0,0,0,0,0,0,0
279,722,4,0,24,0,0,73,18,0,0,34,0,0,0,0,0,0,0,0,0,0
280,717,4,0,24,0,0,72,18,0,0,48,0,0,0,0,0,0,0,0,0,0
281,707,4,0,23,0,0,70,18,0,0,38,0,0,0,0,0,0,0,0,0,0
282,694,4,0,21,0,0,70,17,0,0,46,0,0,0,0,0,0,0,0,0,0
283,687,4,0,21,0,0,71,16,0,0,33,0,0,0,0,0,0,0,0,0,0
284,680,4,0,21,0,0,70,16,0,0,35,0,0,0,0,0,0,0,0,0,0
285,668,4,0,20,0,0,67,16,0,0,42,0,0,0,0,0,0,0,0,0,0
286,662,4,0,19,0,0,66,17,0,0,38,0,0,0,0,0,0,0,0,0,0
287,650,4,0,18,0,0,67,17,0,0,38,0,0,0,0,0,0,0,0,0,0
288,653,4,0,18,0,0,67,17,0,0,29,0,0,0,0,0,0,0,0,0,0
289,657,4,0,18,0,0,67,17,0,0,36,0,0,0,0,0,0,0,0,0,0
290,660,4,0,19,0,0,65,17,0,0,36,0,0,0,0,0,0,0,0,0,0
291,647,3,0,19,0,0,63,17,0,0,37,0,0,0,0,0,0,0,0,0,0
292,636,3,0,19,0,0,64,16,0,0,33,0,0,0,0,0,0,0,0,0,0
293,628,3,0,19,0,0,62,16,0,0,28,0,0,0,0,0,0,0,0,0,0
294,619,3,0,19,0,0,62,16,0,0,35,0,0,0,0,0,0,0,0,0,0
295,620,3,0,20,0,0,61,16,0,0,26,0,0,0,0,0,0,0,0,0,0
296,607,3,0,20,0,0,61,16,0,0,40,0,0,0,0,0,0,0,0,0,0
297,598,3,0,20,0,0,59,16,0,0,32,0,0,0,0,0,0,0,0,0,0
298,595,3,0,20,0,0,58,16,0,0,32,0,0,0,0,0,0,0,0,0,0
299,590,3,0,20,0,0,56,17,0,0,30,0,0,0,0,0,0,0,0,0,0
300,598,3,0,21,0,0,55,19,0,0,28,0,0,0,0,0,0,0,0,0,0
301,601,3,0,21,0,0,56,20,0,0,31,0,0,0,0,0,0,0,0,0,0
302,594,3,0,21,0,0,54,21,0,0,31,0,0,0,0,0,0,0,0,0,0
